hjelmeland_03gm: 276 utterances, 3979 original words, 3983 normalized words
hjelmeland_04gk: 303 utterances, 5216 original words, 5234 normalized words
hna: --skipped--
hof_01um: 386 utterances, 4230 original words, 4242 normalized words
hof_02uk: 356 utterances, 3725 original words, 3727 normalized words
hof_03gm: 241 utterances, 2025 original words, 2033 normalized words
hof_04gk: 427 utterances, 5772 original words, 5774 normalized words
hyllestad_01um: 85 utterances, 1276 original words, 1280 normalized words
hyllestad_02uk: 77 utterances, 1020 original words, 1032 normalized words
hyllestad_03gm: 488 utterances, 4674 original words, 4696 normalized words
hyllestad_04gk: 370 utterances, 3976 original words, 3988 normalized words
ifg: --skipped--
iii: --skipped--
inderoey_01um: 313 utterances, 3826 original words, 3830 normalized words
inderoey_02uk: 317 utterances, 3476 original words, 3482 normalized words
inderoey_03gm: 327 utterances, 3471 original words, 3471 normalized words
inderoey_04gk: 312 utterances, 3385 original words, 3385 normalized words
jb: --skipped--
jbj: --skipped--
jevnaker_01um: 236 utterances, 4183 original words, 4213 normalized words
jevnaker_02uk: 226 utterances, 3306 original words, 3340 normalized words
jevnaker_03gm: 306 utterances, 3697 original words, 3707 normalized words
jevnaker_04gk: 259 utterances, 2613 original words, 2617 normalized words
jk: --skipped--
joelster_01um: 255 utterances, 3848 original words, 3864 normalized words
joelster_02uk: 240 utterances, 2881 original words, 2895 normalized words
joelster_03gm: 325 utterances, 4812 original words, 4822 normalized words
joelster_04gk: 180 utterances, 1984 original words, 1998 normalized words
kaafjord_01um: 347 utterances, 4227 original words, 4259 normalized words
kaafjord_02uk: 455 utterances, 5951 original words, 6041 normalized words
kaafjord_03gm: 307 utterances, 4925 original words, 4944 normalized words
kaafjord_04gk: 291 utterances, 4903 original words, 4936 normalized words
kaafjord_07gm: 183 utterances, 3431 original words, 3469 normalized words
kalvaag_01um: 184 utterances, 1813 original words, 1819 normalized words
kalvaag_02uk: 233 utterances, 2442 original words, 2454 normalized words
kalvaag_03gm: 368 utterances, 5644 original words, 5676 normalized words
kalvaag_04gk: 304 utterances, 4867 original words, 4881 normalized words
karlsoey_01um: 229 utterances, 2818 original words, 2864 normalized words
karlsoey_02uk: 297 utterances, 5124 original words, 5202 normalized words
karlsoey_03gm: 97 utterances, 1757 original words, 1757 normalized words
karmoey_01um: 391 utterances, 3939 original words, 3943 normalized words
karmoey_02uk: 364 utterances, 3706 original words, 3712 normalized words
karmoey_03gm: 389 utterances, 6297 original words, 6319 normalized words
karmoey_04gk: 295 utterances, 3422 original words, 3424 normalized words
kautokeino_01um: 145 utterances, 1813 original words, 1845 normalized words
kautokeino_02uk: 362 utterances, 3762 original words, 3804 normalized words
kautokeino_03gm: 263 utterances, 3979 original words, 3991 normalized words
kautokeino_04gk: 394 utterances, 4499 original words, 4525 normalized words
kb: --skipped--
kh: --skipped--
kirkenaer_01um: 364 utterances, 4455 original words, 4455 normalized words
kirkenaer_04gk: 241 utterances, 3320 original words, 3344 normalized words
kirkenaer_05um: 277 utterances, 2727 original words, 2729 normalized words
kirkenaer_08gk: 317 utterances, 4474 original words, 4512 normalized words
kirkenes_01um: 465 utterances, 4936 original words, 4978 normalized words
kirkenes_02uk: 525 utterances, 7518 original words, 7627 normalized words
kirkenes_03gm: 340 utterances, 5731 original words, 5733 normalized words
kirkenes_04gk: 300 utterances, 2322 original words, 2330 normalized words
kirkesdalen_01um: 339 utterances, 3831 original words, 3847 normalized words
kirkesdalen_02uk: 334 utterances, 4717 original words, 4747 normalized words
kirkesdalen_03gm: 242 utterances, 4815 original words, 4855 normalized words
kirkesdalen_04gk: 283 utterances, 5820 original words, 5836 normalized words
kjoellefjord_01um: 386 utterances, 2842 original words, 2896 normalized words
kjoellefjord_02uk: 388 utterances, 3900 original words, 4018 normalized words
kjoellefjord_03gm: 488 utterances, 5654 original words, 5684 normalized words
kjoellefjord_04gk: 555 utterances, 7245 original words, 7358 normalized words
kristiansand_01um: 301 utterances, 4287 original words, 4295 normalized words
kristiansand_02uk: 283 utterances, 4293 original words, 4330 normalized words
kristiansand_03gm: 244 utterances, 3792 original words, 3794 normalized words
kristiansand_04gk: 279 utterances, 3342 original words, 3370 normalized words
ks: --skipped--
kvaefjord_01um: 313 utterances, 3830 original words, 3862 normalized words
kvaefjord_02uk: 331 utterances, 3261 original words, 3315 normalized words
kvaefjord_03gm: 328 utterances, 4063 original words, 4083 normalized words
kvaefjord_04gk: 417 utterances, 5082 original words, 5110 normalized words
kvaenangen_01um: 424 utterances, 4729 original words, 4835 normalized words
kvaenangen_02uk: 432 utterances, 4714 original words, 4817 normalized words
kvaenangen_03gm: 503 utterances, 7762 original words, 7798 normalized words
kvaenangen_04gk: 392 utterances, 4568 original words, 4586 normalized words
kvam_03gm: 96 utterances, 1611 original words, 1623 normalized words
kvam_04gk: 180 utterances, 3484 original words, 3526 normalized words
kvinnherad_01um: 273 utterances, 5134 original words, 5148 normalized words
kvinnherad_02uk: 239 utterances, 3652 original words, 3672 normalized words
kvinnherad_03gm: 290 utterances, 4609 original words, 4615 normalized words
kvinnherad_04gk: 247 utterances, 3208 original words, 3218 normalized words
lakselv_01um: 373 utterances, 5443 original words, 5513 normalized words
lakselv_02uk: 321 utterances, 4551 original words, 4623 normalized words
lakselv_03gm: 437 utterances, 6222 original words, 6241 normalized words
lakselv_04gk: 450 utterances, 5779 original words, 5843 normalized words
landvik_01um: 290 utterances, 3633 original words, 3661 normalized words
landvik_02uk: 289 utterances, 4084 original words, 4114 normalized words
landvik_03gm: 242 utterances, 3664 original words, 3682 normalized words
landvik_04gk: 202 utterances, 2423 original words, 2427 normalized words
langesund_01um: 165 utterances, 2053 original words, 2057 normalized words
langesund_02uk: 178 utterances, 2005 original words, 2013 normalized words
langesund_03gm: 159 utterances, 2359 original words, 2363 normalized words
langesund_04gk: 235 utterances, 3768 original words, 3768 normalized words
lardal_01um: 339 utterances, 4608 original words, 4614 normalized words
lardal_02uk: 220 utterances, 2661 original words, 2665 normalized words
lardal_03gm: 254 utterances, 3653 original words, 3675 normalized words
lardal_04gk: 360 utterances, 6306 original words, 6354 normalized words
lavangen_01um: 352 utterances, 4817 original words, 4923 normalized words
lavangen_02uk: 373 utterances, 6324 original words, 6452 normalized words
lavangen_03gm: 320 utterances, 5062 original words, 5062 normalized words
