Fileid,D,W,ar,d,er,h,j,jj,l,n,r,s,t,tt,v,vv,w,wv,ww,yr,ä,är,δ
29b,0.0,0.0,0.0,0.0,0.0,0.519231,0.0576923,0.0,0.0,0.0,0.0,0.0,0.0769231,0.0,0.192308,0.0,0.0769231,0.0,0.0,0.0,0.0,0.0,0.0
30a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877193
30b,0.0,0.0,0.0,0.0,0.0,0.0,0.140541,0.0,0.0,0.0,0.72973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31a,0.0,0.0,0.0,0.0,0.0,0.0,0.580645,0.0,0.0,0.0,0.0,0.0,0.0967742,0.0,0.225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31b,0.0,0.0,0.0,0.0,0.0,0.0,0.371429,0.171429,0.0,0.0,0.0,0.0,0.0761905,0.0,0.152381,0.0,0.114286,0.0761905,0.0,0.0,0.0,0.0,0.0
32a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821782,0.0,0.138614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.786982,0.0,0.118343,0.0532544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632479,0.0,0.136752,0.0,0.119658,0.0854701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0909091,0.0,0.0519481,0.264069,0.0,0.0,0.0,0.0,0.0,0.246753,0.0,0.316017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.721649,0.0,0.0515464,0.0,0.195876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36a,0.0,0.0,0.0,0.0,0.0,0.22449,0.22449,0.0,0.0,0.0,0.0,0.0,0.204082,0.142857,0.0612245,0.0,0.102041,0.0,0.0,0.0,0.0,0.0,0.0
36b,0.0,0.0,0.0,0.0,0.0,0.2,0.218182,0.0,0.0,0.0,0.0,0.0,0.0909091,0.0,0.109091,0.0,0.327273,0.0,0.0,0.0,0.0,0.0,0.0
37a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890244,0.0,0.0,0.0,0.0853659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.785235,0.0,0.0,0.0,0.161074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
