Fileid,o,oe,oi,oo,os,ot,u,ua,ui,uo,ö
40a,0.266376,0.0,0.729258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40b,0.288265,0.0,0.681122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41a,0.505535,0.0,0.346863,0.0,0.0,0.136531,0.0,0.0,0.0,0.0,0.0
41b,0.539855,0.0,0.452899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42a,0.12,0.0,0.828571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42b,0.205128,0.0,0.75641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43a,0.549839,0.279743,0.0,0.0,0.0,0.0,0.0,0.0,0.0868167,0.0,0.0
43b,0.464539,0.41844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44a,0.517964,0.0,0.347305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44b,0.453488,0.0,0.395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45a,0.370518,0.0,0.601594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45b,0.386046,0.0,0.586047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46a,0.0,0.0,0.474074,0.481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46b,0.0,0.0,0.433333,0.483333,0.0,0.0,0.0,0.0,0.0,0.075,0.0
47a,0.592689,0.154047,0.195822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47b,0.542056,0.168224,0.186916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48a,0.493007,0.0,0.447552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48b,0.463483,0.0,0.485955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49a,0.421053,0.0,0.426901,0.0,0.0,0.0,0.0643275,0.0,0.0,0.0,0.0
49b,0.370968,0.112903,0.258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209677
50a,0.5,0.0,0.408451,0.0,0.0539906,0.0,0.0,0.0,0.0,0.0,0.0
50b,0.339492,0.0,0.572748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
